,speaker_path,listener_path
1030,NoXI/065_2016-04-14_Nottingham/Expert_video/1,NoXI/065_2016-04-14_Nottingham/Novice_video/1
1031,NoXI/065_2016-04-14_Nottingham/Expert_video/2,NoXI/065_2016-04-14_Nottingham/Novice_video/2
1032,NoXI/065_2016-04-14_Nottingham/Expert_video/3,NoXI/065_2016-04-14_Nottingham/Novice_video/3
1033,NoXI/065_2016-04-14_Nottingham/Expert_video/4,NoXI/065_2016-04-14_Nottingham/Novice_video/4
1034,NoXI/065_2016-04-14_Nottingham/Expert_video/5,NoXI/065_2016-04-14_Nottingham/Novice_video/5
1035,NoXI/065_2016-04-14_Nottingham/Expert_video/6,NoXI/065_2016-04-14_Nottingham/Novice_video/6
1036,NoXI/065_2016-04-14_Nottingham/Expert_video/7,NoXI/065_2016-04-14_Nottingham/Novice_video/7
1037,NoXI/065_2016-04-14_Nottingham/Expert_video/8,NoXI/065_2016-04-14_Nottingham/Novice_video/8
1038,NoXI/065_2016-04-14_Nottingham/Expert_video/9,NoXI/065_2016-04-14_Nottingham/Novice_video/9
1039,NoXI/065_2016-04-14_Nottingham/Expert_video/10,NoXI/065_2016-04-14_Nottingham/Novice_video/10
1040,NoXI/065_2016-04-14_Nottingham/Expert_video/11,NoXI/065_2016-04-14_Nottingham/Novice_video/11
1041,NoXI/065_2016-04-14_Nottingham/Expert_video/12,NoXI/065_2016-04-14_Nottingham/Novice_video/12
1042,NoXI/065_2016-04-14_Nottingham/Expert_video/13,NoXI/065_2016-04-14_Nottingham/Novice_video/13
1043,NoXI/065_2016-04-14_Nottingham/Expert_video/14,NoXI/065_2016-04-14_Nottingham/Novice_video/14
1044,NoXI/065_2016-04-14_Nottingham/Expert_video/15,NoXI/065_2016-04-14_Nottingham/Novice_video/15
1045,NoXI/065_2016-04-14_Nottingham/Expert_video/16,NoXI/065_2016-04-14_Nottingham/Novice_video/16
1046,NoXI/065_2016-04-14_Nottingham/Expert_video/17,NoXI/065_2016-04-14_Nottingham/Novice_video/17
1047,NoXI/065_2016-04-14_Nottingham/Expert_video/18,NoXI/065_2016-04-14_Nottingham/Novice_video/18
1048,NoXI/065_2016-04-14_Nottingham/Expert_video/19,NoXI/065_2016-04-14_Nottingham/Novice_video/19
1049,NoXI/065_2016-04-14_Nottingham/Expert_video/20,NoXI/065_2016-04-14_Nottingham/Novice_video/20
1050,NoXI/065_2016-04-14_Nottingham/Expert_video/21,NoXI/065_2016-04-14_Nottingham/Novice_video/21
1051,NoXI/065_2016-04-14_Nottingham/Expert_video/22,NoXI/065_2016-04-14_Nottingham/Novice_video/22
1052,NoXI/065_2016-04-14_Nottingham/Expert_video/23,NoXI/065_2016-04-14_Nottingham/Novice_video/23
1053,NoXI/065_2016-04-14_Nottingham/Expert_video/24,NoXI/065_2016-04-14_Nottingham/Novice_video/24
1054,NoXI/065_2016-04-14_Nottingham/Expert_video/25,NoXI/065_2016-04-14_Nottingham/Novice_video/25
1055,NoXI/065_2016-04-14_Nottingham/Expert_video/26,NoXI/065_2016-04-14_Nottingham/Novice_video/26
1056,NoXI/065_2016-04-14_Nottingham/Expert_video/27,NoXI/065_2016-04-14_Nottingham/Novice_video/27
1057,NoXI/065_2016-04-14_Nottingham/Expert_video/28,NoXI/065_2016-04-14_Nottingham/Novice_video/28
1058,NoXI/065_2016-04-14_Nottingham/Expert_video/29,NoXI/065_2016-04-14_Nottingham/Novice_video/29
1059,NoXI/065_2016-04-14_Nottingham/Expert_video/30,NoXI/065_2016-04-14_Nottingham/Novice_video/30
1060,NoXI/065_2016-04-14_Nottingham/Expert_video/31,NoXI/065_2016-04-14_Nottingham/Novice_video/31
1061,NoXI/065_2016-04-14_Nottingham/Expert_video/32,NoXI/065_2016-04-14_Nottingham/Novice_video/32
1062,NoXI/065_2016-04-14_Nottingham/Expert_video/33,NoXI/065_2016-04-14_Nottingham/Novice_video/33
